name,nametype,class,mass (g),discovery,year
Grove Mountains 020159,Valid,L5,1.54,Found,2003.0
Grove Mountains 020161,Valid,L6,7.6,Found,2003.0
Grove Mountains 020163,Valid,L6,3.42,Found,2003.0
Grove Mountains 020164,Valid,L3,5.2,Found,2003.0
Grove Mountains 020165,Valid,L3,6.96,Found,2003.0
Grove Mountains 020167,Valid,L6,7.48,Found,2003.0
Grove Mountains 020169,Valid,L3,4.78,Found,2003.0
Grove Mountains 020172,Valid,L6,1.05,Found,2003.0
Grove Mountains 020173,Valid,L4,2.62,Found,2003.0
Grove Mountains 020174,Valid,L6,56.05,Found,2003.0
Grove Mountains 020179,Valid,L5,1.29,Found,2003.0
Grove Mountains 020182,Valid,L6,1.04,Found,2003.0
Grove Mountains 020183,Valid,L6,0.85,Found,2003.0
Grove Mountains 020184,Valid,L5,3.17,Found,2003.0
Grove Mountains 020187,Valid,L6,1.54,Found,2003.0
Grove Mountains 020188,Valid,L6,558.6,Found,2003.0
Grove Mountains 020222,Valid,L5,6.24,Found,2003.0
Grove Mountains 020224,Valid,L5,6.4,Found,2003.0
Grove Mountains 020283,Valid,L5,18.6,Found,2003.0
Grove Mountains 020284,Valid,L6,9.73,Found,2003.0
Grove Mountains 020285,Valid,L5,0.55,Found,2003.0
Grove Mountains 020288,Valid,L5,0.82,Found,2003.0
Grove Mountains 020290,Valid,L5 ,1.27,Found,2003.0
Grove Mountains 020291,Valid,L6,4.57,Found,2003.0
Grove Mountains 020292,Valid,L5,1.71,Found,2003.0
Grove Mountains 020293,Valid,L5,6.79,Found,2003.0
Grove Mountains 020297,Valid,L5,5.0,Found,2003.0
Grove Mountains 020300,Valid,L6,3.2,Found,2003.0
Grove Mountains 020301,Valid,L5,1.58,Found,2003.0
Grove Mountains 020302,Valid,L5 ,1.74,Found,2003.0
Grove Mountains 020303,Valid,L4,1.3,Found,2003.0
Grove Mountains 020304,Valid,L5,2.11,Found,2003.0
Grove Mountains 020305,Valid,L5,3.36,Found,2003.0
Grove Mountains 020307,Valid,L4,4.26,Found,2003.0
Grove Mountains 020310,Valid,L5,1.31,Found,2003.0
Grove Mountains 020311,Valid,L5,1.2,Found,2003.0
Grove Mountains 020312,Valid,L5,2.06,Found,2003.0
Grove Mountains 020314,Valid,L4,1.86,Found,2003.0
Grove Mountains 020315,Valid,L5,1.29,Found,2003.0
Grove Mountains 020317,Valid,L5 ,1.27,Found,2003.0
Grove Mountains 020318,Valid,L6,1.09,Found,2003.0
Grove Mountains 020319,Valid,L5,1.15,Found,2003.0
Grove Mountains 020323,Valid,L6,1.06,Found,2003.0
Grove Mountains 020325,Valid,L6,1.35,Found,2003.0
Grove Mountains 020327,Valid,L5,1.34,Found,2003.0
Grove Mountains 020328,Valid,L5,0.9,Found,2003.0
Grove Mountains 020329,Valid,L5,1.32,Found,2003.0
Grove Mountains 020331,Valid,L5,0.98,Found,2003.0
Grove Mountains 020333,Valid,L6,0.91,Found,2003.0
Grove Mountains 020334,Valid,L5,0.69,Found,2003.0
Grove Mountains 020335,Valid,L5,0.87,Found,2003.0
Grove Mountains 020337,Valid,L6,0.87,Found,2003.0
Grove Mountains 020339,Valid,L5,0.64,Found,2003.0
Grove Mountains 020340,Valid,L5,0.84,Found,2003.0
Grove Mountains 020346,Valid,L5,0.6,Found,2003.0
Grove Mountains 020347,Valid,L5,0.6,Found,2003.0
Grove Mountains 020349,Valid,L5,0.65,Found,2003.0
Grove Mountains 020351,Valid,L6,0.64,Found,2003.0
Grove Mountains 020353,Valid,L6,0.67,Found,2003.0
Grove Mountains 020354,Valid,L5,0.67,Found,2003.0
Grove Mountains 020355,Valid,L6,0.67,Found,2003.0
Grove Mountains 020356,Valid,L4,0.67,Found,2003.0
Grove Mountains 020359,Valid,L5,0.46,Found,2003.0
Grove Mountains 020361,Valid,L5,0.54,Found,2003.0
Grove Mountains 020365,Valid,L6,0.47,Found,2003.0
Grove Mountains 020369,Valid,L5,0.44,Found,2003.0
Grove Mountains 020380,Valid,L5,0.48,Found,2003.0
Grove Mountains 020384,Valid,L6,0.46,Found,2003.0
Grove Mountains 020385,Valid,L6,0.46,Found,2003.0
Grove Mountains 020386,Valid,L6,0.46,Found,2003.0
Grove Mountains 020392,Valid,L6,0.48,Found,2003.0
Grove Mountains 020395,Valid,L5,0.44,Found,2003.0
Grove Mountains 020397,Valid,L5,0.45,Found,2003.0
Grove Mountains 020413,Valid,L5,0.47,Found,2003.0
Grove Mountains 020571,Valid,L5 ,50.07,Found,2003.0
Grove Mountains 020572,Valid,L5,25.0,Found,2003.0
Grove Mountains 020573,Valid,L5,20.23,Found,2003.0
Grove Mountains 020574,Valid,L6,13.11,Found,2003.0
Grove Mountains 020576,Valid,L5,5.47,Found,2003.0
Grove Mountains 020581,Valid,L5,1.77,Found,2003.0
Grove Mountains 020583,Valid,L5,1.85,Found,2003.0
Grove Mountains 020584,Valid,L6,1.56,Found,2003.0
Grove Mountains 020586,Valid,L5,1.16,Found,2003.0
Grove Mountains 020587,Valid,L5,1.0,Found,2003.0
Grove Mountains 020589,Valid,L6,0.9,Found,2003.0
Grove Mountains 020590,Valid,L5,1.06,Found,2003.0
Grove Mountains 020594,Valid,L5,0.63,Found,2003.0
Grove Mountains 020595,Valid,L5,1.01,Found,2003.0
Grove Mountains 020599,Valid,L5 ,0.68,Found,2003.0
Grove Mountains 020600,Valid,L5,0.63,Found,2003.0
Grove Mountains 020601,Valid,L6,0.59,Found,2003.0
Grove Mountains 020615,Valid,L5,0.44,Found,2003.0
Grove Mountains 020619,Valid,L5,0.47,Found,2003.0
Grove Mountains 020700,Valid,L6,21.69,Found,2003.0
Grove Mountains 020773,Valid,L6,0.47,Found,2003.0
Grove Mountains 020775,Valid,L5,0.47,Found,2003.0
Grove Mountains 020797,Valid,L6,3.96,Found,2003.0
Grove Mountains 020801,Valid,L6,0.87,Found,2003.0
Grove Mountains 020802,Valid,L5,0.59,Found,2003.0
Grove Mountains 020808,Valid,L6,2.09,Found,2003.0
Grove Mountains 020809,Valid,L5,2.19,Found,2003.0
Grove Mountains 020810,Valid,L6,1.28,Found,2003.0
Grove Mountains 020811,Valid,L5,0.92,Found,2003.0
Grove Mountains 020817,Valid,L5,0.65,Found,2003.0
Grove Mountains 020820,Valid,L6,0.9,Found,2003.0
Grove Mountains 020821,Valid,L5,0.54,Found,2003.0
Grove Mountains 020823,Valid,L5,0.55,Found,2003.0
Grove Mountains 020824,Valid,L5,0.46,Found,2003.0
Grove Mountains 020826,Valid,L5,0.47,Found,2003.0
Grove Mountains 020917,Valid,L5,2.08,Found,2003.0
Grove Mountains 020918,Valid,L5,2.07,Found,2003.0
Grove Mountains 020919,Valid,L6,1.85,Found,2003.0
Grove Mountains 020921,Valid,L5,1.2,Found,2003.0
Grove Mountains 020922,Valid,L6,1.18,Found,2003.0
Grove Mountains 020924,Valid,L5,1.0,Found,2003.0
Grove Mountains 020925,Valid,L6,0.82,Found,2003.0
Grove Mountains 020926,Valid,L5,0.7,Found,2003.0
Grove Mountains 020932,Valid,L5,0.47,Found,2003.0
Grove Mountains 020936,Valid,L5,0.47,Found,2003.0
Grove Mountains 020940,Valid,L5,0.46,Found,2003.0
Grove Mountains 020941,Valid,L5,0.48,Found,2003.0
Grove Mountains 020942,Valid,L6,0.44,Found,2003.0
Grove Mountains 020943,Valid,L5,0.54,Found,2003.0
Grove Mountains 021184,Valid,L6,2.18,Found,2003.0
Grove Mountains 021188,Valid,L6,0.89,Found,2003.0
Grove Mountains 021189,Valid,L5,1.16,Found,2003.0
Grove Mountains 021190,Valid,L5,0.65,Found,2003.0
Grove Mountains 021201,Valid,L5,0.56,Found,2003.0
Grove Mountains 021204,Valid,L4,0.46,Found,2003.0
Grove Mountains 021213,Valid,L5,0.55,Found,2003.0
Grove Mountains 021216,Valid,L6,0.89,Found,2003.0
Grove Mountains 021220,Valid,L5 ,0.65,Found,2003.0
Grove Mountains 021224,Valid,L5,0.45,Found,2003.0
Grove Mountains 021231,Valid,L5 ,0.65,Found,2003.0
Grove Mountains 021233,Valid,L6,0.46,Found,2003.0
Grove Mountains 021474,Valid,L6,30.9,Found,2003.0
Grove Mountains 021475,Valid,L6,183.7,Found,2003.0
Grove Mountains 021476,Valid,L6,3.38,Found,2003.0
Grove Mountains 021477,Valid,L6,58.5,Found,2003.0
Grove Mountains 021478,Valid,L6,104.5,Found,2003.0
Grove Mountains 021482,Valid,L6,199.9,Found,2003.0
Grove Mountains 021488,Valid,L5,108.2,Found,2003.0
Grove Mountains 021489,Valid,L6,56.2,Found,2003.0
Grove Mountains 021491,Valid,L6,1716.5,Found,2003.0
Grove Mountains 021494,Valid,L6,8.39,Found,2003.0
Grove Mountains 021495,Valid,L5,43.7,Found,2003.0
Grove Mountains 021497,Valid,L6,1.36,Found,2003.0
Grove Mountains 021498,Valid,L3,0.63,Found,2003.0
Grove Mountains 021499,Valid,L5,57.1,Found,2003.0
Grove Mountains 021500,Valid,L5,12.83,Found,2003.0
Grove Mountains 021501,Valid,L5,17.37,Found,2003.0
Grove Mountains 021502,Valid,L6,17.41,Found,2003.0
Grove Mountains 021503,Valid,L6,23.56,Found,2003.0
Grove Mountains 021504,Valid,L6,17.81,Found,2003.0
Grove Mountains 021505,Valid,L6,91.3,Found,2003.0
Grove Mountains 021506,Valid,L6,39.13,Found,2003.0
Grove Mountains 021515,Valid,L6,61.32,Found,2003.0
Grove Mountains 021523,Valid,L6,1.32,Found,2003.0
Grove Mountains 021529,Valid,L5,3.08,Found,2003.0
Grove Mountains 021533,Valid,L6,4.34,Found,2003.0
Grove Mountains 021537,Valid,L5,0.55,Found,2003.0
Grove Mountains 021540,Valid,L5,3.12,Found,2003.0
Grove Mountains 021547,Valid,L5,19.6,Found,2003.0
Grove Mountains 021548,Valid,L5,31.81,Found,2003.0
Grove Mountains 021558,Valid,L6,25.4,Found,2003.0
Grove Mountains 021562,Valid,L4,4.4,Found,2003.0
Grove Mountains 021563,Valid,L4,7.0,Found,2003.0
Grove Mountains 021572,Valid,L4,56.95,Found,2003.0
Grove Mountains 021573,Valid,L6,47.17,Found,2003.0
Grove Mountains 021574,Valid,L6,19.19,Found,2003.0
Grove Mountains 021575,Valid,L5,2.5,Found,2003.0
Grove Mountains 021578,Valid,L6,14.42,Found,2003.0
Grove Mountains 021581,Valid,L5,54.2,Found,2003.0
Grove Mountains 021582,Valid,L5,44.22,Found,2003.0
Grove Mountains 021583,Valid,L4 ,8.81,Found,2003.0
Grove Mountains 021585,Valid,L6,4.16,Found,2003.0
Grove Mountains 021586,Valid,L5,11.59,Found,2003.0
Grove Mountains 021587,Valid,L5,31.33,Found,2003.0
Grove Mountains 021588,Valid,L6,9.58,Found,2003.0
Grove Mountains 021594,Valid,L5,108.9,Found,2003.0
Grove Mountains 021595,Valid,L6,22.53,Found,2003.0
Grove Mountains 021596,Valid,L6,8.36,Found,2003.0
Grove Mountains 021597,Valid,L6,26.77,Found,2003.0
Grove Mountains 021605,Valid,L6,6.51,Found,2003.0
Grove Mountains 021610,Valid,L5,49.85,Found,2003.0
Grove Mountains 021613,Valid,L6,1.3,Found,2003.0
Grove Mountains 021614,Valid,L5,47.32,Found,2003.0
Grove Mountains 021615,Valid,L5,4.7,Found,2003.0
Grove Mountains 021617,Valid,L6,4.25,Found,2003.0
Grove Mountains 021632,Valid,L5,2.07,Found,2003.0
Grove Mountains 021633,Valid,L6,1.18,Found,2003.0
Grove Mountains 021634,Valid,L6,0.92,Found,2003.0
Grove Mountains 021635,Valid,L6,6.55,Found,2003.0
Grove Mountains 021636,Valid,L6,4.14,Found,2003.0
Grove Mountains 021637,Valid,L6,2.18,Found,2003.0
Grove Mountains 021639,Valid,L6,1.08,Found,2003.0
Grove Mountains 021643,Valid,L4,12.81,Found,2003.0
Grove Mountains 021649,Valid,L6,13.9,Found,2003.0
Grove Mountains 021650,Valid,L6,0.89,Found,2003.0
Grove Mountains 021651,Valid,L5,35.15,Found,2003.0
Grove Mountains 021652,Valid,L5,57.89,Found,2003.0
Grove Mountains 021654,Valid,L4,16.56,Found,2003.0
Grove Mountains 021658,Valid,L6,1.72,Found,2003.0
Grove Mountains 021668,Valid,L4,88.53,Found,2003.0
Grove Mountains 021669,Valid,L5,406.1,Found,2003.0
Grove Mountains 021670,Valid,L5,282.4,Found,2003.0
Grove Mountains 021671,Valid,L6,37.8,Found,2003.0
Grove Mountains 021672,Valid,L6,265.2,Found,2003.0
Grove Mountains 021673,Valid,L5,187.38,Found,2003.0
Grove Mountains 021674,Valid,L5,83.65,Found,2003.0
Grove Mountains 021675,Valid,L6,56.25,Found,2003.0
Grove Mountains 021676,Valid,L6,51.6,Found,2003.0
Grove Mountains 021677,Valid,L6,37.9,Found,2003.0
Grove Mountains 021678,Valid,L6,32.65,Found,2003.0
Grove Mountains 021679,Valid,L5,27.55,Found,2003.0
Grove Mountains 021680,Valid,L5,21.01,Found,2003.0
Grove Mountains 021681,Valid,L6,9.72,Found,2003.0
Grove Mountains 021682,Valid,L6,9.04,Found,2003.0
Grove Mountains 021684,Valid,L6,6.65,Found,2003.0
Grove Mountains 021691,Valid,L5,0.98,Found,2003.0
Grove Mountains 021696,Valid,L6,3.41,Found,2003.0
Grove Mountains 021698,Valid,L6,0.66,Found,2003.0
Grove Mountains 021701,Valid,L6,1.02,Found,2003.0
Grove Mountains 021703,Valid,L5,0.45,Found,2003.0
Grove Mountains 021704,Valid,L5,6.2,Found,2003.0
Grove Mountains 021706,Valid,L6,16.99,Found,2003.0
Grove Mountains 021711,Valid,L6,274.1,Found,2003.0
Grove Mountains 021712,Valid,L5,285.3,Found,2003.0
Grove Mountains 021713,Valid,L6,147.89,Found,2003.0
Grove Mountains 021714,Valid,L6,136.81,Found,2003.0
Grove Mountains 021722,Valid,L6,33.21,Found,2003.0
Grove Mountains 021723,Valid,L6,25.55,Found,2003.0
Grove Mountains 021724,Valid,L5,22.02,Found,2003.0
Grove Mountains 021725,Valid,L5,24.99,Found,2003.0
Grove Mountains 021726,Valid,L4,11.24,Found,2003.0
Grove Mountains 021727,Valid,L6,9.17,Found,2003.0
Grove Mountains 021730,Valid,L6,9.72,Found,2003.0
Grove Mountains 021732,Valid,L6,3.99,Found,2003.0
Grove Mountains 021736,Valid,L6,6.11,Found,2003.0
Grove Mountains 021737,Valid,L6,2.65,Found,2003.0
Grove Mountains 021739,Valid,L6,2.11,Found,2003.0
Grove Mountains 021746,Valid,L5,0.8,Found,2003.0
Grove Mountains 021748,Valid,L5 ,2.41,Found,2003.0
Grove Mountains 021754,Valid,L5,0.68,Found,2003.0
Grove Mountains 021756,Valid,L4 ,0.23,Found,2003.0
Grove Mountains 021759,Valid,L6,0.84,Found,2003.0
Grove Mountains 021760,Valid,L6,2.53,Found,2003.0
Grove Mountains 021763,Valid,L6,0.59,Found,2003.0
Grove Mountains 021770,Valid,L6,2.42,Found,2003.0
Grove Mountains 021771,Valid,L6,0.45,Found,2003.0
Grove Mountains 021772,Valid,L6,4.41,Found,2003.0
Grove Mountains 021774,Valid,L6,2.56,Found,2003.0
Grove Mountains 021776,Valid,L6,19.63,Found,2003.0
Grove Mountains 021785,Valid,L5,71.74,Found,2003.0
Grove Mountains 021786,Valid,L6,72.49,Found,2003.0
Grove Mountains 021787,Valid,L6,70.11,Found,2003.0
Grove Mountains 021790,Valid,L6,12.62,Found,2003.0
Grove Mountains 021791,Valid,L5,102.02,Found,2003.0
Grove Mountains 021792,Valid,L6,88.64,Found,2003.0
Grove Mountains 021793,Valid,L6,49.78,Found,2003.0
Grove Mountains 021794,Valid,L5,44.5,Found,2003.0
Grove Mountains 021796,Valid,L6,55.32,Found,2003.0
Grove Mountains 021797,Valid,L6,99.66,Found,2003.0
Grove Mountains 021799,Valid,L6,49.78,Found,2003.0
Grove Mountains 021800,Valid,L4,14.06,Found,2003.0
Grove Mountains 021801,Valid,L5,28.08,Found,2003.0
Grove Mountains 021802,Valid,L5,175.0,Found,2003.0
Grove Mountains 021803,Valid,L5,115.9,Found,2003.0
Grove Mountains 021804,Valid,L5,46.13,Found,2003.0
Grove Mountains 021805,Valid,L6,179.05,Found,2003.0
Grove Mountains 021806,Valid,L5,58.6,Found,2003.0
Grove Mountains 021812,Valid,L6,2.43,Found,2003.0
Grove Mountains 021815,Valid,L6,1.31,Found,2003.0
Grove Mountains 021818,Valid,L5,1.83,Found,2003.0
Grove Mountains 021819,Valid,L6,1.34,Found,2003.0
Grove Mountains 021821,Valid,L6,1.17,Found,2003.0
Grove Mountains 021837,Valid,L5,1.01,Found,2003.0
Grove Mountains 021838,Valid,L6,0.99,Found,2003.0
Grove Mountains 021846,Valid,L5,0.46,Found,2003.0
Grove Mountains 021861,Valid,L5,0.52,Found,2003.0
Grove Mountains 021933,Valid,L5,6.01,Found,2003.0
Grove Mountains 021944,Valid,L6,11.44,Found,2003.0
Grove Mountains 021945,Valid,L6,8.57,Found,2003.0
Grove Mountains 021946,Valid,L5,8.21,Found,2003.0
Grove Mountains 021948,Valid,L6,8.0,Found,2003.0
Grove Mountains 021952,Valid,L6,3.5,Found,2003.0
Grove Mountains 021954,Valid,L6,4.57,Found,2003.0
Grove Mountains 021955,Valid,L6,3.97,Found,2003.0
Grove Mountains 021957,Valid,L6,4.15,Found,2003.0
Grove Mountains 021958,Valid,L6,3.26,Found,2003.0
Grove Mountains 021959,Valid,L5,3.42,Found,2003.0
Grove Mountains 021962,Valid,L6,2.42,Found,2003.0
Grove Mountains 021963,Valid,L5,2.44,Found,2003.0
Grove Mountains 021965,Valid,L6,4.12,Found,2003.0
Grove Mountains 021971,Valid,L6,2.16,Found,2003.0
Grove Mountains 021972,Valid,L6,1.85,Found,2003.0
Grove Mountains 021976,Valid,L6,8.36,Found,2003.0
Grove Mountains 021982,Valid,L5,2.44,Found,2003.0
Grove Mountains 021989,Valid,L6,1.58,Found,2003.0
Grove Mountains 021990,Valid,L6,1.3,Found,2003.0
Grove Mountains 022005,Valid,L6,8.93,Found,2003.0
Grove Mountains 022006,Valid,L6,1.82,Found,2003.0
Grove Mountains 022011,Valid,L5,2.63,Found,2003.0
Grove Mountains 022012,Valid,L6,1.29,Found,2003.0
Grove Mountains 022013,Valid,L5,3.9,Found,2003.0
Grove Mountains 022020,Valid,L4,0.69,Found,2003.0
Grove Mountains 022022,Valid,L5,228.6,Found,2003.0
Grove Mountains 022023,Valid,L5,102.91,Found,2003.0
Grove Mountains 022024,Valid,L5,405.9,Found,2003.0
Grove Mountains 022025,Valid,L6,101.39,Found,2003.0
Grove Mountains 022026,Valid,L5,73.32,Found,2003.0
Grove Mountains 022027,Valid,L5,169.65,Found,2003.0
Grove Mountains 022028,Valid,L5,244.9,Found,2003.0
Grove Mountains 022029,Valid,L6,245.5,Found,2003.0
Grove Mountains 022030,Valid,L5,119.14,Found,2003.0
Grove Mountains 022031,Valid,L6,39.86,Found,2003.0
Grove Mountains 022032,Valid,L6,204.8,Found,2003.0
Grove Mountains 022033,Valid,L5,398.7,Found,2003.0
Grove Mountains 022034,Valid,L5,345.0,Found,2003.0
Grove Mountains 022035,Valid,L6,107.26,Found,2003.0
Grove Mountains 022036,Valid,L5,96.54,Found,2003.0
Grove Mountains 022037,Valid,L6,935.9,Found,2003.0
Grove Mountains 022038,Valid,L5,1012.0,Found,2003.0
Grove Mountains 022039,Valid,L5,160.67,Found,2003.0
Grove Mountains 022040,Valid,L5,589.5,Found,2003.0
Grove Mountains 022041,Valid,L5,96.74,Found,2003.0
Grove Mountains 022042,Valid,L5,218.1,Found,2003.0
Grove Mountains 022043,Valid,L6,208.7,Found,2003.0
Grove Mountains 022044,Valid,L6,152.14,Found,2003.0
Grove Mountains 022045,Valid,L6,47.76,Found,2003.0
Grove Mountains 022046,Valid,L6 ,4.04,Found,2003.0
Grove Mountains 022047,Valid,L6,5.48,Found,2003.0
Grove Mountains 022048,Valid,L6,4.19,Found,2003.0
Grove Mountains 022049,Valid,L6,3.44,Found,2003.0
Grove Mountains 022052,Valid,L6,2.48,Found,2003.0
Grove Mountains 022053,Valid,L6,2.1,Found,2003.0
Grove Mountains 022054,Valid,L5,2.13,Found,2003.0
Grove Mountains 022055,Valid,L5,1.81,Found,2003.0
Grove Mountains 022056,Valid,L6,2.16,Found,2003.0
Grove Mountains 022061,Valid,L5,0.56,Found,2003.0
Grove Mountains 022064,Valid,L6,1.29,Found,2003.0
Grove Mountains 022065,Valid,L6 ,1.15,Found,2003.0
Grove Mountains 022066,Valid,L6,1.29,Found,2003.0
Grove Mountains 022068,Valid,L6,1.07,Found,2003.0
Grove Mountains 022069,Valid,L5,0.98,Found,2003.0
Grove Mountains 022077,Valid,L6,0.44,Found,2003.0
Grove Mountains 022081,Valid,L5,0.44,Found,2003.0
Grove Mountains 022088,Valid,L6,0.48,Found,2003.0
Grove Mountains 022099,Valid,L6,2.55,Found,2003.0
Grove Mountains 022100,Valid,L5 ,1.56,Found,2003.0
Grove Mountains 022112,Valid,L6,365.6,Found,2003.0
Grove Mountains 022113,Valid,L6,33.49,Found,2003.0
Grove Mountains 022114,Valid,L6,171.43,Found,2003.0
Grove Mountains 022115,Valid,L6,79.63,Found,2003.0
Grove Mountains 022116,Valid,L6,69.62,Found,2003.0
Grove Mountains 022117,Valid,L5,32.28,Found,2003.0
Grove Mountains 022118,Valid,L6,46.03,Found,2003.0
Grove Mountains 022119,Valid,L5,27.2,Found,2003.0
Grove Mountains 022120,Valid,L6,363.0,Found,2003.0
Grove Mountains 022121,Valid,L6,107.56,Found,2003.0
Grove Mountains 022122,Valid,L6,45.92,Found,2003.0
Grove Mountains 022123,Valid,L5,103.12,Found,2003.0
Grove Mountains 022124,Valid,L6,22.75,Found,2003.0
Grove Mountains 022125,Valid,L6,47.14,Found,2003.0
Grove Mountains 022126,Valid,L5,47.98,Found,2003.0
Grove Mountains 022127,Valid,L5,39.15,Found,2003.0
Grove Mountains 022128,Valid,L5,31.14,Found,2003.0
Grove Mountains 022129,Valid,L6,30.24,Found,2003.0
Grove Mountains 022130,Valid,L6,30.54,Found,2003.0
Grove Mountains 022131,Valid,L6,24.75,Found,2003.0
Grove Mountains 022132,Valid,L6,23.92,Found,2003.0
Grove Mountains 022133,Valid,L6,21.37,Found,2003.0
Grove Mountains 022134,Valid,L6,19.99,Found,2003.0
Grove Mountains 022135,Valid,L6,17.33,Found,2003.0
Grove Mountains 022136,Valid,L6,12.34,Found,2003.0
Grove Mountains 022137,Valid,L6,6.59,Found,2003.0
Grove Mountains 022138,Valid,L6,69.47,Found,2003.0
Grove Mountains 022139,Valid,L6,40.9,Found,2003.0
Grove Mountains 022140,Valid,L6,36.35,Found,2003.0
Grove Mountains 022141,Valid,L5,26.6,Found,2003.0
Grove Mountains 022142,Valid,L5,23.31,Found,2003.0
Grove Mountains 022143,Valid,L5,14.71,Found,2003.0
Grove Mountains 022144,Valid,L6,8.6,Found,2003.0
Grove Mountains 022145,Valid,L6,31.8,Found,2003.0
Grove Mountains 022146,Valid,L5,20.67,Found,2003.0
Grove Mountains 022147,Valid,L6,21.15,Found,2003.0
Grove Mountains 022148,Valid,L6,17.15,Found,2003.0
Grove Mountains 022149,Valid,L6,17.21,Found,2003.0
Grove Mountains 022150,Valid,L5,14.34,Found,2003.0
Grove Mountains 022151,Valid,L5,12.54,Found,2003.0
Grove Mountains 022152,Valid,L6,6.24,Found,2003.0
Grove Mountains 022153,Valid,L6,19.66,Found,2003.0
Grove Mountains 022154,Valid,L6,19.87,Found,2003.0
Grove Mountains 022155,Valid,L6,21.02,Found,2003.0
Grove Mountains 022156,Valid,L6,18.51,Found,2003.0
Grove Mountains 022157,Valid,L6,15.36,Found,2003.0
Grove Mountains 022158,Valid,L6,14.2,Found,2003.0
Grove Mountains 022159,Valid,L5,13.03,Found,2003.0
Grove Mountains 022160,Valid,L5,610.1,Found,2003.0
Grove Mountains 022161,Valid,L5,26.54,Found,2003.0
Grove Mountains 022162,Valid,L6,140.96,Found,2003.0
Grove Mountains 022163,Valid,L5,94.29,Found,2003.0
Grove Mountains 022164,Valid,L6,14.91,Found,2003.0
Grove Mountains 022166,Valid,L6,8.93,Found,2003.0
Grove Mountains 022167,Valid,L6,6.33,Found,2003.0
Grove Mountains 022168,Valid,L5,139.67,Found,2003.0
Grove Mountains 022169,Valid,L5,93.07,Found,2003.0
Grove Mountains 022170,Valid,L5,79.97,Found,2003.0
Grove Mountains 022171,Valid,L6,73.0,Found,2003.0
Grove Mountains 022172,Valid,L6,56.95,Found,2003.0
Grove Mountains 022173,Valid,L6,68.33,Found,2003.0
Grove Mountains 022174,Valid,L6,56.05,Found,2003.0
Grove Mountains 022175,Valid,L6,44.46,Found,2003.0
Grove Mountains 022176,Valid,L6,36.6,Found,2003.0
Grove Mountains 022177,Valid,L5,34.47,Found,2003.0
Grove Mountains 022178,Valid,L6,23.94,Found,2003.0
Grove Mountains 022180,Valid,L6,8.44,Found,2003.0
Grove Mountains 022183,Valid,L6,5.82,Found,2003.0
Grove Mountains 022184,Valid,L6,3.44,Found,2003.0
Grove Mountains 022185,Valid,L5,13.26,Found,2003.0
Grove Mountains 022186,Valid,L5,11.99,Found,2003.0
Grove Mountains 022187,Valid,L6,9.74,Found,2003.0
Grove Mountains 022188,Valid,L6,9.68,Found,2003.0
Grove Mountains 022190,Valid,L5,42.08,Found,2003.0
Grove Mountains 022191,Valid,L5,18.76,Found,2003.0
Grove Mountains 022192,Valid,L5,19.03,Found,2003.0
Grove Mountains 022193,Valid,L5,14.8,Found,2003.0
Grove Mountains 022194,Valid,L6,15.57,Found,2003.0
Grove Mountains 022195,Valid,L5,6.33,Found,2003.0
Grove Mountains 022196,Valid,L5,4.33,Found,2003.0
Grove Mountains 022197,Valid,L6,1.1,Found,2003.0
Grove Mountains 022198,Valid,L6,0.66,Found,2003.0
Grove Mountains 022199,Valid,L5,30.08,Found,2003.0
Grove Mountains 022200,Valid,L6,27.79,Found,2003.0
Grove Mountains 022201,Valid,L6,17.37,Found,2003.0
Grove Mountains 022202,Valid,L6,13.9,Found,2003.0
Grove Mountains 022203,Valid,L6,16.21,Found,2003.0
Grove Mountains 022204,Valid,L6,13.98,Found,2003.0
Grove Mountains 022206,Valid,L5,22.5,Found,2003.0
Grove Mountains 022207,Valid,L5,15.83,Found,2003.0
Grove Mountains 022209,Valid,L6,9.86,Found,2003.0
Grove Mountains 022210,Valid,L5,11.76,Found,2003.0
Grove Mountains 022211,Valid,L5,11.09,Found,2003.0
Grove Mountains 022212,Valid,L5,12.07,Found,2003.0
Grove Mountains 022213,Valid,L6,8.75,Found,2003.0
Grove Mountains 022214,Valid,L6,9.0,Found,2003.0
Grove Mountains 022215,Valid,L5,9.08,Found,2003.0
Grove Mountains 022217,Valid,L6,6.0,Found,2003.0
Grove Mountains 022218,Valid,L5,3.16,Found,2003.0
Grove Mountains 022219,Valid,L5,100.95,Found,2003.0
Grove Mountains 022220,Valid,L6,12.01,Found,2003.0
Grove Mountains 022221,Valid,L4,29.09,Found,2003.0
Grove Mountains 022222,Valid,L5,125.96,Found,2003.0
Grove Mountains 022223,Valid,L6,71.24,Found,2003.0
Grove Mountains 022224,Valid,L6,15.45,Found,2003.0
Grove Mountains 022225,Valid,L6,6.46,Found,2003.0
Grove Mountains 022227,Valid,L6,14.1,Found,2003.0
Grove Mountains 022228,Valid,L6,46.45,Found,2003.0
Grove Mountains 022229,Valid,L6,18.68,Found,2003.0
Grove Mountains 022230,Valid,L6,14.76,Found,2003.0
Grove Mountains 022231,Valid,L6,9.62,Found,2003.0
Grove Mountains 022232,Valid,L6,9.42,Found,2003.0
Grove Mountains 022233,Valid,L6,8.54,Found,2003.0
Grove Mountains 022234,Valid,L6,7.84,Found,2003.0
Grove Mountains 022235,Valid,L6,5.92,Found,2003.0
