name,nametype,class,mass (g),discovery,year
Honolulu,Valid,L5,2420.0,Fell,1825.0
Hotse,Valid,L6,180.0,Fell,1956.0
Independence,Valid,L6,880.0,Fell,1917.0
Inner Mongolia,Valid,L6,3000.0,Fell,1963.0
Innisfree,Valid,L5,4576.0,Fell,1977.0
Jackalsfontein,Valid,L6,48000.0,Fell,1903.0
Jartai,Valid,L6,20500.0,Fell,1979.0
Jemlapur,Valid,L6,450.0,Fell,1901.0
Jesenice,Valid,L6,3667.0,Fell,2009.0
Jhung,Valid,L5,5900.0,Fell,1873.0
Jodiya,Valid,L5,100.0,Fell,2006.0
Jumapalo,Valid,L6,32490.0,Fell,1984.0
Junan,Valid,L6,950.0,Fell,1976.0
Kagarlyk,Valid,L6,1900.0,Fell,1908.0
Kakowa,Valid,L6,577.0,Fell,1858.0
Kalumbi,Valid,L6,4500.0,Fell,1879.0
Kamalpur,Valid,L6,2770.0,Fell,1942.0
Kamsagar,Valid,L6,1293.0,Fell,1902.0
Kandahar (Afghanistan),Valid,L6,299.0,Fell,1959.0
Kaprada,Valid,L5/6,1600.0,Fell,2004.0
Kaptal-Aryk,Valid,L6,3500.0,Fell,1937.0
Karewar,Valid,L6,180.0,Fell,1949.0
Karkh,Valid,L6,22000.0,Fell,1905.0
Karloowala,Valid,L6,2950.0,Fell,1955.0
Katagum,Valid,L6,1500.0,Fell,1999.0
Kediri,Valid,L4,3300.0,Fell,1940.0
Kemer,Valid,L4,5760.0,Fell,2008.0
Kendleton,Valid,L4,6937.0,Fell,1939.0
Kharkov,Valid,L6,1500.0,Fell,1787.0
Kheragur,Valid,L6,450.0,Fell,1860.0
Khmelevka,Valid,L5,6109.0,Fell,1929.0
Khohar,Valid,L3.6,9700.0,Fell,1910.0
Kiel,Valid,L6,737.6,Fell,1962.0
Kisvarsny,Valid,L6,1550.0,Fell,1914.0
Kitchener,Valid,L6,202.6,Fell,1998.0
Kokubunji,Valid,L6,11510.0,Fell,1986.0
Krasnoi-Ugol,Valid,L6,2440.0,Fell,1829.0
Kukschin,Valid,L6,2250.0,Fell,1938.0
Kulak,Valid,L5,453.6,Fell,1961.0
Kuleschovka,Valid,L6,6000.0,Fell,1811.0
Kunashak,Valid,L6,200000.0,Fell,1949.0
Kusiali,Valid,L6,5.0,Fell,1860.0
Kuttippuram,Valid,L6,45000.0,Fell,1914.0
Kuznetzovo,Valid,L6,4047.0,Fell,1932.0
Kyushu,Valid,L6,45000.0,Fell,1886.0
La Bcasse,Valid,L6,2800.0,Fell,1879.0
La Criolla,Valid,L6,45000.0,Fell,1985.0
L'Aigle,Valid,L6,37000.0,Fell,1803.0
Lalitpur,Valid,L6,372.0,Fell,1887.0
Lnghalsen,Valid,L6,2300.0,Fell,1947.0
Lanxi,Valid,L6,1282.0,Fell,1986.0
Lanzenkirchen,Valid,L4,7000.0,Fell,1925.0
Launton,Valid,L6,1060.0,Fell,1830.0
Lavrentievka,Valid,L6,800.0,Fell,1938.0
Leedey,Valid,L6,51500.0,Fell,1943.0
Leeuwfontein,Valid,L6,460.0,Fell,1912.0
Leighlinbridge,Valid,L6,271.4,Fell,1999.0
Leonovka,Valid,L6,700.0,Fell,1900.0
Les Ormes,Valid,L6,125.0,Fell,1857.0
Lesves,Valid,L6,2000.0,Fell,1896.0
Linum,Valid,L6,1862.0,Fell,1854.0
Lishui,Valid,L5,498.0,Fell,1978.0
Lissa,Valid,L6,12800.0,Fell,1808.0
Little Piney,Valid,L5,491.0,Fell,1839.0
Lorton,Valid,L6,329.7,Fell,2010.0
Los Martinez,Valid,L6,25.0,Fell,1894.0
Louisville,Valid,L6,1300.0,Fell,1977.0
Lua,Valid,L5,9241.0,Fell,1926.0
Luc,Valid,L6,3500.0,Fell,1768.0
Lumpkin,Valid,L6,340.0,Fell,1869.0
Lundsgrd,Valid,L6,11000.0,Fell,1889.0
Mabwe-Khoywa,Valid,L5,540.0,Fell,1937.0
Machinga,Valid,L6,93200.0,Fell,1981.0
Madiun,Valid,L6,400.0,Fell,1935.0
Madrid,Valid,L6,400.0,Fell,1896.0
Mafra,Valid,L3-4,600.0,Fell,1941.0
Malakal,Valid,L5,2000.0,Fell,1970.0
Mamra Springs,Valid,L6,1000.0,Fell,1927.0
Maria Linden,Valid,L4,114.0,Fell,1925.0
Marion (Iowa),Valid,L6,28400.0,Fell,1847.0
Marmande,Valid,L5,3000.0,Fell,1848.0
Maromandia,Valid,L6,6000.0,Fell,2002.0
Maryville,Valid,L6,1443.0,Fell,1983.0
Mascombes,Valid,L6,1000.0,Fell,1836.0
Mauerkirchen,Valid,L6,19000.0,Fell,1768.0
Mauritius,Valid,L6,220.0,Fell,1801.0
Maziba,Valid,L6,4975.0,Fell,1942.0
Mbale,Valid,L5/6,150000.0,Fell,1992.0
Menziswyl,Valid,L5,28.9,Fell,1903.0
Mern,Valid,L6,4000.0,Fell,1878.0
Messina,Valid,L5,2405.0,Fell,1955.0
Meuselbach,Valid,L6,870.0,Fell,1897.0
Mezel,Valid,L6,1300.0,Fell,1949.0
Mez-Madaras,Valid,L3.7,22700.0,Fell,1852.0
Mhow,Valid,L6,350.0,Fell,1827.0
Middlesbrough,Valid,L6,1600.0,Fell,1881.0
Mifflin,Valid,L5,3584.0,Fell,2010.0
Mihonoseki,Valid,L6,6380.0,Fell,1992.0
Mike,Valid,L6,224.2,Fell,1944.0
Milena,Valid,L6,10000.0,Fell,1842.0
Mirzapur,Valid,L5,8510.0,Fell,1910.0
Mocs,Valid,L5-6,300000.0,Fell,1882.0
Modoc (1905),Valid,L6,35000.0,Fell,1905.0
Monte das Fortes,Valid,L5,4885.0,Fell,1950.0
Monte Milone,Valid,L5,3130.0,Fell,1846.0
Montlivault,Valid,L6,500.0,Fell,1838.0
Moorleah,Valid,L6,8887.5,Fell,1930.0
Moradabad,Valid,L6,70.0,Fell,1808.0
